pic_num,training_loop.thisRepN,training_loop.thisTrialN,training_loop.thisN,training_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_text.started,intro_click.started,intro_click.x,intro_click.y,intro_click.leftButton,intro_click.midButton,intro_click.rightButton,intro_click.time,show_images.started,image0_name,image0_position,image1_name,image1_position,image2_name,image2_position,image3_name,image3_position,image4_name,image4_position,image5_name,image5_position,image6_name,image6_position,image7_name,image7_position,image8_name,image8_position,image9_name,image9_position,image10_name,image10_position,image11_name,image11_position,image12_name,image12_position,image0.started,image1.started,image2.started,image3.started,image4.started,image5.started,image6.started,image7.started,image8.started,image9.started,image10.started,image11.started,image12.started,show_images.stopped,blank_screen.started,blank_text.started,blank_text.stopped,blank_screen.stopped,show_images_changed.started,correct_image,correct_image_name,correct_image_pos,image0_2.started,image1_2.started,image2_2.started,image3_2.started,image4_2.started,image5_2.started,image6_2.started,image7_2.started,image8_2.started,image9_2.started,image10_2.started,image11_2.started,image12_2.started,mouse.started,show_images_changed.stopped,is_correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,feedback.started,feedback_text.started,feedback.stopped,feedback_text.stopped,begin_real_trial.started,text.started,begin_real_trial.stopped,so_long_and_thanks_for_all_the_fish.started,goodbye_text.started,goodbye_click.started,so_long_and_thanks_for_all_the_fish.stopped,goodbye_click.x,goodbye_click.y,goodbye_click.leftButton,goodbye_click.midButton,goodbye_click.rightButton,goodbye_click.time,id,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.06752109999996492,0.05081360000002633,[0.9953125],[-0.9986111111111111],[1],[0],[0],[38.420016799999985],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP01,6,2024-05-05_14h54.35.570,visual_memory,2023.2.3,59.9647287465558,2024-05-05 14h54.58.182380 +0200,
,,,,,,,,,,,,,116.3991823,,,,,,,,,,115.5664754,laptop.png,"[-0.25, 0.75]",macko.png,"[-0.25, -0.25]",vodor.png,"[0.75, 0.75]",auto.png,"[0.25, 0.25]",szemuveg.png,"[-0.25, 0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",116.3991823,116.3991823,116.3991823,116.3991823,116.3991823,116.3991823,116.3991823,116.3991823,116.3991823,116.3991823,116.3991823,116.3991823,116.3991823,125.55682529999996,125.55685139999997,125.57285730000001,126.74083409999997,126.0579649,126.05798390000001,image4_2,fotel.png,"[-0.25, 0.25]",127.57498959999998,127.57498959999998,127.57498959999998,127.57498959999998,127.57498959999998,127.57498959999998,127.57498959999998,127.57498959999998,127.57498959999998,127.57498959999998,127.57498959999998,127.57498959999998,127.57498959999998,0.018847799999946346,133.91585369999996,False,[-0.2640625],[0.8402777777777778],[1],[0],[0],[6.339408699999979],['image0_2'],['laptop.png'],133.91671939999998,133.93030289999996,135.91657629999997,135.93155029999997,135.91671249999996,135.93155029999997,146.62610359999996,,,,,,,,,,,PP01,6,2024-05-05_14h54.35.570,visual_memory,2023.2.3,59.9647287465558,2024-05-05 14h54.58.182380 +0200,
5,,,,,0,0,0,0,0,0,0,0,147.22434369999996,,,,,,,,,,146.6384802,letra.png,"[0.25, -0.25]",fagyi.png,"[-0.25, 0.75]",ceruza.png,"[0.25, 0.25]",papucs.png,"[-0.75, 0.75]",zokni.png,"[0.75, -0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",147.22434369999996,147.22434369999996,147.22434369999996,147.22434369999996,147.22434369999996,147.22434369999996,147.22434369999996,147.22434369999996,147.22434369999996,147.22434369999996,147.22434369999996,147.22434369999996,147.22434369999996,156.61638199999993,164.70961239999997,164.72235119999993,165.7074023,165.2067677,157.11633369999993,image4_2,vodor.png,"[0.75, -0.75]",158.61730939999995,158.61730939999995,158.61730939999995,158.61730939999995,158.61730939999995,158.61730939999995,158.61730939999995,158.61730939999995,158.61730939999995,158.61730939999995,158.61730939999995,158.61730939999995,158.61730939999995,0.0011751000000685963,164.70834879999995,False,[0.10078125],[0.16805555555555557],[1],[0],[0],[6.090260100000023],['image2_2'],['ceruza.png'],,,,,,,,,,,,,,,,,,PP01,6,2024-05-05_14h54.35.570,visual_memory,2023.2.3,59.9647287465558,2024-05-05 14h54.58.182380 +0200,
5,,,,,0,0,0,0,1,0,1,0,165.7074023,,,,,,,,,,165.20714729999997,ceruza.png,"[0.75, 0.75]",fogas.png,"[0.25, 0.75]",szemuveg.png,"[0.25, 0.25]",papucs.png,"[0.75, 0.25]",kad.png,"[-0.25, 0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",166.7240918,166.7240918,166.7240918,166.7240918,166.7240918,166.7240918,166.7240918,166.7240918,166.7240918,166.7240918,166.7240918,166.7240918,166.7240918,176.69977800000004,180.6722317,180.68560949999994,181.57021959999997,181.17007720000004,177.2002311,image4_2,fotel.png,"[-0.25, 0.25]",178.70080710000002,178.70080710000002,178.70080710000002,178.70080710000002,178.70080710000002,178.70080710000002,178.70080710000002,178.70080710000002,178.70080710000002,178.70080710000002,178.70080710000002,178.70080710000002,178.70080710000002,0.0012295999999878404,180.6713787,True,[-0.1875],[0.2388888888888889],[1],[0],[0],[1.9698303000000124],['image4_2'],['fotel.png'],,,,,,,,,,,,,,,,,,PP01,6,2024-05-05_14h54.35.570,visual_memory,2023.2.3,59.9647287465558,2024-05-05 14h54.58.182380 +0200,
5,,,,,0,0,0,0,2,0,2,0,181.57021959999997,,,,,,,,,,181.17049269999995,laptop.png,"[0.75, -0.75]",auto.png,"[-0.75, -0.75]",fagyi.png,"[-0.25, 0.25]",esernyo.png,"[-0.75, 0.75]",papucs.png,"[0.25, -0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",182.68764780000004,182.68764780000004,182.68764780000004,182.68764780000004,182.68764780000004,182.68764780000004,182.68764780000004,182.68764780000004,182.68764780000004,182.68764780000004,182.68764780000004,182.68764780000004,182.68764780000004,192.6630401,199.25433199999998,199.268104,200.135807,199.7523605,193.16370589999997,image4_2,hajszarito.png,"[0.25, -0.75]",194.6640225,194.6640225,194.6640225,194.6640225,194.6640225,194.6640225,194.6640225,194.6640225,194.6640225,194.6640225,194.6640225,194.6640225,194.6640225,0.001178299999992305,199.25347069999998,True,[0.296875],[-0.7847222222222222],[1],[0],[0],[4.58870550000006],['image4_2'],['hajszarito.png'],,,,,,,,,,,,,,,,,,PP01,6,2024-05-05_14h54.35.570,visual_memory,2023.2.3,59.9647287465558,2024-05-05 14h54.58.182380 +0200,
5,,,,,0,0,0,0,3,0,3,0,200.135807,,,,,,,,,,199.7527076,fogas.png,"[-0.25, -0.75]",bogre.png,"[0.75, -0.25]",hajszarito.png,"[-0.25, 0.75]",macko.png,"[-0.75, 0.75]",szemuveg.png,"[0.25, 0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",201.26991309999994,201.26991309999994,201.26991309999994,201.26991309999994,201.26991309999994,201.26991309999994,201.26991309999994,201.26991309999994,201.26991309999994,201.26991309999994,201.26991309999994,201.26991309999994,201.26991309999994,211.24538659999996,218.9543797,218.96787519999998,220.00221020000004,219.45235609999997,211.7455202,image4_2,auto.png,"[0.25, 0.25]",213.24647919999995,213.24647919999995,213.24647919999995,213.24647919999995,213.24647919999995,213.24647919999995,213.24647919999995,213.24647919999995,213.24647919999995,213.24647919999995,213.24647919999995,213.24647919999995,213.24647919999995,0.0012611000000788408,218.95355889999996,False,[0.68125],[-0.16527777777777777],[1],[0],[0],[5.706296899999984],['image1_2'],['bogre.png'],,,,,,,,,,,,,,,,,,PP01,6,2024-05-05_14h54.35.570,visual_memory,2023.2.3,59.9647287465558,2024-05-05 14h54.58.182380 +0200,
5,,,,,0,0,0,0,4,0,4,0,220.00221020000004,,,,,,,,,,219.4527379,kamera.png,"[-0.75, -0.25]",fotel.png,"[0.25, 0.75]",hajszarito.png,"[-0.75, -0.75]",vodor.png,"[-0.75, 0.25]",zokni.png,"[-0.25, -0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",220.96936629999993,220.96936629999993,220.96936629999993,220.96936629999993,220.96936629999993,220.96936629999993,220.96936629999993,220.96936629999993,220.96936629999993,220.96936629999993,220.96936629999993,220.96936629999993,220.96936629999993,230.94540310000002,238.35495089999995,238.36766379999995,239.63462719999995,238.85187469999994,231.4453946,image4_2,letra.png,"[-0.25, -0.75]",232.94645400000002,232.94645400000002,232.94645400000002,232.94645400000002,232.94645400000002,232.94645400000002,232.94645400000002,232.94645400000002,232.94645400000002,232.94645400000002,232.94645400000002,232.94645400000002,232.94645400000002,0.0012841999999864129,238.35413670000003,False,[-0.87421875],[-0.8083333333333333],[1],[0],[0],[5.4068651000000045],['image2_2'],['hajszarito.png'],,,,,,,,,,,,,,,,,,PP01,6,2024-05-05_14h54.35.570,visual_memory,2023.2.3,59.9647287465558,2024-05-05 14h54.58.182380 +0200,
5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP01,6,2024-05-05_14h54.35.570,visual_memory,2023.2.3,59.9647287465558,2024-05-05 14h54.58.182380 +0200,
9,,,,,0,1,1,1,0,0,0,0,239.63462719999995,,,,,,,,,,238.85280279999995,szemuveg.png,"[-0.25, 0.75]",hajszarito.png,"[-0.75, 0.25]",letra.png,"[0.75, -0.25]",auto.png,"[-0.25, -0.75]",vodor.png,"[-0.25, 0.25]",bogre.png,"[-0.25, -0.25]",ceruza.png,"[0.75, -0.75]",zokni.png,"[0.25, -0.25]",fagyi.png,"[-0.75, -0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",240.3687291,240.3687291,240.3687291,240.3687291,240.3687291,240.3687291,240.3687291,240.3687291,240.3687291,240.3687291,240.3687291,240.3687291,240.3687291,250.34478019999995,261.07494299999996,261.08678509999993,262.504947,261.5710935999999,250.84538650000002,image8_2,kad.png,"[-0.75, -0.25]",252.34539789999997,252.34539789999997,252.34539789999997,252.34539789999997,252.34539789999997,252.34539789999997,252.34539789999997,252.34539789999997,252.34539789999997,252.34539789999997,252.34539789999997,252.34539789999997,252.34539789999997,0.0008479000000534143,261.0735829,False,"[0.46171875, 0.84609375]","[-0.7486111111111111, -0.65]","[1, 1]","[0, 0]","[0, 0]","[6.891483699999981, 8.727326700000049]",['image6_2'],['ceruza.png'],,,,,,,,,,,,,,,,,,PP01,6,2024-05-05_14h54.35.570,visual_memory,2023.2.3,59.9647287465558,2024-05-05 14h54.58.182380 +0200,
9,,,,,0,1,1,1,1,0,1,0,262.504947,,,,,,,,,,261.57150709999996,macko.png,"[0.75, -0.25]",esernyo.png,"[0.25, 0.25]",fogas.png,"[-0.25, -0.25]",fotel.png,"[-0.25, 0.75]",laptop.png,"[0.25, 0.75]",auto.png,"[-0.25, 0.25]",fagyi.png,"[0.25, -0.25]",vodor.png,"[-0.75, -0.75]",letra.png,"[-0.25, -0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",263.08759969999994,263.08759969999994,263.08759969999994,263.08759969999994,263.08759969999994,263.08759969999994,263.08759969999994,263.08759969999994,263.08759969999994,263.08759969999994,263.08759969999994,263.08759969999994,263.08759969999994,273.06426339999996,277.55611009999996,277.5669392,278.73481730000003,278.05143039999996,273.56433749999997,image8_2,papucs.png,"[-0.25, -0.75]",275.0647309,275.0647309,275.0647309,275.0647309,275.0647309,275.0647309,275.0647309,275.0647309,275.0647309,275.0647309,275.0647309,275.0647309,275.0647309,0.0006544999999960055,277.5552607999999,False,[0.74609375],[-0.1875],[1],[0],[0],[2.4896159999999554],['image0_2'],['macko.png'],,,,,,,,,,,,,,,,,,PP01,6,2024-05-05_14h54.35.570,visual_memory,2023.2.3,59.9647287465558,2024-05-05 14h54.58.182380 +0200,
